type_x,industry1_code,industry1_name,type_y,industry2_code,industry2_name,url,symbol,amount,chg,hasexist,high52w,last_close,percent,volume,current,high,low,name,market_capital,low52w,pe_ttm,open
CSRC,A,农、林、牧、渔业,CSRC,A01,农业,https://xueqiu.com/industry/quote_order.json?page=1&size=10000&order=desc&exchange=CN&orderBy=percent&level2code=A01,SZ300143,142869277.69,2.27,False,32.6,22.65,10.02,5808774,24.92,24.92,23.05,星普医科,7186606980.56,22.0,47.341,23.39
CSRC,A,农、林、牧、渔业,CSRC,A01,农业,https://xueqiu.com/industry/quote_order.json?page=1&size=10000&order=desc&exchange=CN&orderBy=percent&level2code=A01,SH600506,45786398.0,0.22,False,25.8,15.13,1.45,3010031,15.35,15.42,14.96,香梨股份,2267300500.55,12.62,,15.12
CSRC,A,农、林、牧、渔业,CSRC,A01,农业,https://xueqiu.com/industry/quote_order.json?page=1&size=10000&order=desc&exchange=CN&orderBy=percent&level2code=A01,SH600540,6948837.0,0.05,False,10.35,4.19,1.19,1652761,4.24,4.25,4.17,*ST新赛,1996714847.12,3.53,,4.19
CSRC,A,农、林、牧、渔业,CSRC,A01,农业,https://xueqiu.com/industry/quote_order.json?page=1&size=10000&order=desc&exchange=CN&orderBy=percent&level2code=A01,SH600108,48231783.0,0.04,False,5.57,3.79,1.06,12671991,3.83,3.85,3.77,亚盛集团,7456684913.43,3.48,89.923,3.8
CSRC,A,农、林、牧、渔业,CSRC,A01,农业,https://xueqiu.com/industry/quote_order.json?page=1&size=10000&order=desc&exchange=CN&orderBy=percent&level2code=A01,SZ300189,14161665.93,0.03,False,5.17,3.5,0.86,4021073,3.53,3.55,3.49,神农基因,3614720000.0,3.03,287.008,3.53
CSRC,A,农、林、牧、渔业,CSRC,A01,农业,https://xueqiu.com/industry/quote_order.json?page=1&size=10000&order=desc&exchange=CN&orderBy=percent&level2code=A01,SH600371,37691095.0,0.08,False,16.88,9.62,0.83,3929280,9.7,9.8,9.4,万向德农,2183082000.0,8.0,37.627,9.6
CSRC,A,农、林、牧、渔业,CSRC,A01,农业,https://xueqiu.com/industry/quote_order.json?page=1&size=10000&order=desc&exchange=CN&orderBy=percent&level2code=A01,SH600598,211705763.0,0.07,False,13.26,10.78,0.65,19621768,10.85,10.95,10.66,北大荒,19287827012.65,9.8,27.567,10.84
CSRC,A,农、林、牧、渔业,CSRC,A01,农业,https://xueqiu.com/industry/quote_order.json?page=1&size=10000&order=desc&exchange=CN&orderBy=percent&level2code=A01,SH601118,111666368.0,0.03,False,7.5,5.92,0.51,18911607,5.95,5.97,5.83,海南橡胶,25462595392.15,4.8,72.203,5.95
CSRC,A,农、林、牧、渔业,CSRC,A01,农业,https://xueqiu.com/industry/quote_order.json?page=1&size=10000&order=desc&exchange=CN&orderBy=percent&level2code=A01,SZ002041,55497305.18,0.03,False,17.9,11.65,0.26,4743389,11.68,11.83,11.6,登海种业,10278400000.0,10.26,60.993,11.65
CSRC,A,农、林、牧、渔业,CSRC,A01,农业,https://xueqiu.com/industry/quote_order.json?page=1&size=10000&order=desc&exchange=CN&orderBy=percent&level2code=A01,SZ000998,0.0,0.0,False,28.57,24.18,0.0,0,24.18,24.55,23.58,隆平高科,30374787217.32,18.89,54.102,23.86
CSRC,A,农、林、牧、渔业,CSRC,A01,农业,https://xueqiu.com/industry/quote_order.json?page=1&size=10000&order=desc&exchange=CN&orderBy=percent&level2code=A01,SH600354,173732517.0,-0.01,False,10.29,7.43,-0.13,23601249,7.42,7.48,7.25,敦煌种业,3916291433.6,5.66,84.281,7.43
CSRC,A,农、林、牧、渔业,CSRC,A01,农业,https://xueqiu.com/industry/quote_order.json?page=1&size=10000&order=desc&exchange=CN&orderBy=percent&level2code=A01,SH600359,54840364.0,-0.01,False,11.0,6.74,-0.15,8199702,6.73,6.77,6.62,新农开发,2567581278.6,5.4,,6.75
CSRC,A,农、林、牧、渔业,CSRC,A01,农业,https://xueqiu.com/industry/quote_order.json?page=1&size=10000&order=desc&exchange=CN&orderBy=percent&level2code=A01,SZ300087,19686327.16,-0.02,False,12.94,10.3,-0.19,1915077,10.28,10.43,10.14,荃银高科,4342078232.28,8.55,69.516,10.27
CSRC,A,农、林、牧、渔业,CSRC,A01,农业,https://xueqiu.com/industry/quote_order.json?page=1&size=10000&order=desc&exchange=CN&orderBy=percent&level2code=A01,SH600313,163835029.0,-0.01,False,6.23,3.69,-0.27,45155188,3.68,3.75,3.51,农发种业,3982491079.84,2.6,,3.66
CSRC,A,农、林、牧、渔业,CSRC,A02,林业,https://xueqiu.com/industry/quote_order.json?page=1&size=10000&order=desc&exchange=CN&orderBy=percent&level2code=A02,SZ000592,109716741.1,0.16,False,7.05,4.33,3.7,24668638,4.49,4.52,4.34,平潭发展,8673696200.59,3.85,888.957,4.34
CSRC,A,农、林、牧、渔业,CSRC,A02,林业,https://xueqiu.com/industry/quote_order.json?page=1&size=10000&order=desc&exchange=CN&orderBy=percent&level2code=A02,SH600265,2473672.0,0.34,False,37.19,17.77,1.91,137153,18.11,18.22,17.78,ST景谷,2350678000.0,13.92,,17.91
CSRC,A,农、林、牧、渔业,CSRC,A02,林业,https://xueqiu.com/industry/quote_order.json?page=1&size=10000&order=desc&exchange=CN&orderBy=percent&level2code=A02,SZ002679,20187041.64,0.2,False,37.62,20.62,0.97,974769,20.82,20.86,20.52,福建金森,2887317600.0,18.5,49.254,20.62
CSRC,A,农、林、牧、渔业,CSRC,A02,林业,https://xueqiu.com/industry/quote_order.json?page=1&size=10000&order=desc&exchange=CN&orderBy=percent&level2code=A02,SZ002200,23271424.16,0.06,False,27.48,9.39,0.64,2483044,9.45,9.45,9.24,云投生态,1740055810.5,7.89,,9.34
CSRC,A,农、林、牧、渔业,CSRC,A02,林业,https://xueqiu.com/industry/quote_order.json?page=1&size=10000&order=desc&exchange=CN&orderBy=percent&level2code=A02,SZ000663,0.0,0.0,False,22.56,14.66,0.0,0,14.66,14.66,14.66,永安林业,4998894371.32,11.41,34.847,14.66
