industry1_code,industry1_name,industry2_code,industry2_name,url,symbol,amount,chg,hasexist,high52w,last_close,percent,volume,current,high,low,name,market_capital,low52w,pe_ttm,open
A,农、林、牧、渔业,A01,农业,https://xueqiu.com/industry/quote_order.json?page=1&size=10000&order=desc&exchange=CN&orderBy=percent&level2code=A01,SH601118,279354037,0.1,False,7.41,5.95,1.68,46093552,6.05,6.25,5.89,海南橡胶,25890538171.85,4.8,73.4165,5.94
A,农、林、牧、渔业,A01,农业,https://xueqiu.com/industry/quote_order.json?page=1&size=10000&order=desc&exchange=CN&orderBy=percent&level2code=A01,SZ000998,0,0.0,False,28.57,24.18,0.0,0,24.18,24.55,23.58,隆平高科,30374787217.32,18.89,54.1021,23.86
A,农、林、牧、渔业,A01,农业,https://xueqiu.com/industry/quote_order.json?page=1&size=10000&order=desc&exchange=CN&orderBy=percent&level2code=A01,SH600108,42763036,-0.01,False,5.5,3.83,-0.26,11193628,3.82,3.85,3.8,亚盛集团,7437215762.22,3.48,89.6879,3.81
A,农、林、牧、渔业,A01,农业,https://xueqiu.com/industry/quote_order.json?page=1&size=10000&order=desc&exchange=CN&orderBy=percent&level2code=A01,SZ300189,18211586,-0.01,False,5.11,3.53,-0.28,5176925,3.52,3.56,3.48,神农基因,3604480000.0,3.03,286.1951,3.53
A,农、林、牧、渔业,A01,农业,https://xueqiu.com/industry/quote_order.json?page=1&size=10000&order=desc&exchange=CN&orderBy=percent&level2code=A01,SZ300087,10078921,-0.05,False,12.94,10.28,-0.49,987575,10.23,10.29,10.14,荃银高科,4320959174.73,8.55,69.1775,10.29
A,农、林、牧、渔业,A01,农业,https://xueqiu.com/industry/quote_order.json?page=1&size=10000&order=desc&exchange=CN&orderBy=percent&level2code=A01,SH600540,9163425,-0.03,False,10.35,4.24,-0.71,2154280,4.21,4.3,4.2,*ST新赛,1982587147.73,3.53,0.0,4.24
A,农、林、牧、渔业,A01,农业,https://xueqiu.com/industry/quote_order.json?page=1&size=10000&order=desc&exchange=CN&orderBy=percent&level2code=A01,SH600598,177715773,-0.11,False,13.26,10.85,-1.01,16434598,10.74,10.93,10.73,北大荒,19092282222.66,9.8,27.2877,10.78
A,农、林、牧、渔业,A01,农业,https://xueqiu.com/industry/quote_order.json?page=1&size=10000&order=desc&exchange=CN&orderBy=percent&level2code=A01,SH600506,30470216,-0.19,False,25.45,15.35,-1.24,2002632,15.16,15.49,15.11,香梨股份,2239236194.68,12.62,0.0,15.26
A,农、林、牧、渔业,A01,农业,https://xueqiu.com/industry/quote_order.json?page=1&size=10000&order=desc&exchange=CN&orderBy=percent&level2code=A01,SH600359,53264580,-0.09,False,11.0,6.73,-1.34,7948585,6.64,6.8,6.62,新农开发,2533245124.8,5.4,0.0,6.71
A,农、林、牧、渔业,A01,农业,https://xueqiu.com/industry/quote_order.json?page=1&size=10000&order=desc&exchange=CN&orderBy=percent&level2code=A01,SZ002041,37627881,-0.17,False,17.67,11.68,-1.46,3266800,11.51,11.68,11.43,登海种业,10128800000.0,10.26,60.1052,11.68
A,农、林、牧、渔业,A01,农业,https://xueqiu.com/industry/quote_order.json?page=1&size=10000&order=desc&exchange=CN&orderBy=percent&level2code=A01,SH600354,132844955,-0.15,False,10.29,7.42,-2.02,18062813,7.27,7.44,7.25,敦煌种业,3837121121.6,5.66,82.5776,7.38
