industry2_code,industry2_name,url,symbol,amount,chg,hasexist,high52w,last_close,percent,volume,current,high,low,name,market_capital,low52w,pe_ttm,open
A01,农业,https://xueqiu.com/industry/quote_order.json?page=1&size=10000&order=desc&exchange=CN&orderBy=percent&level2code=A01,SZ300087,30238600.12,0.26,FALSE,12.94,9.87,2.63,3001601,10.13,10.23,9.95,荃银高科,4278721060,8.55,362.8232,9.95
A01,农业,https://xueqiu.com/industry/quote_order.json?page=1&size=10000&order=desc&exchange=CN&orderBy=percent&level2code=A01,SH600540,13224292,0.04,FALSE,10.35,4.13,0.97,3178227,4.17,4.2,4.08,*ST新赛,1963750215,3.53,0,4.12
A01,农业,https://xueqiu.com/industry/quote_order.json?page=1&size=10000&order=desc&exchange=CN&orderBy=percent&level2code=A01,SZ300143,0,0,FALSE,32.6,25.6,0,0,25.6,25.85,25,星普医科,7382710221,22.22,49.1973,25.76
A01,农业,https://xueqiu.com/industry/quote_order.json?page=1&size=10000&order=desc&exchange=CN&orderBy=percent&level2code=A01,SZ000998,0,0,FALSE,28.57,24.18,0,0,24.18,24.55,23.58,隆平高科,30374787217,18.89,54.1021,23.86
A01,农业,https://xueqiu.com/industry/quote_order.json?page=1&size=10000&order=desc&exchange=CN&orderBy=percent&level2code=A01,SH601118,149756523,-0.05,FALSE,7.54,5.89,-0.85,25502391,5.84,5.97,5.77,海南橡胶,24991858334,4.8,70.8682,5.86
A01,农业,https://xueqiu.com/industry/quote_order.json?page=1&size=10000&order=desc&exchange=CN&orderBy=percent&level2code=A01,SH600108,43744908,-0.04,FALSE,5.58,3.82,-1.05,11582696,3.78,3.81,3.75,亚盛集团,7359339157,3.48,88.7488,3.81
A01,农业,https://xueqiu.com/industry/quote_order.json?page=1&size=10000&order=desc&exchange=CN&orderBy=percent&level2code=A01,SZ300189,15352439.5,-0.04,FALSE,5.27,3.6,-1.11,4317850,3.56,3.58,3.53,神农基因,3645440000,3.03,124.9357,3.56
A01,农业,https://xueqiu.com/industry/quote_order.json?page=1&size=10000&order=desc&exchange=CN&orderBy=percent&level2code=A01,SH600598,163763318,-0.17,FALSE,13.26,10.83,-1.57,15312970,10.66,10.8,10.61,北大荒,18950067830,9.8,27.0844,10.66
A01,农业,https://xueqiu.com/industry/quote_order.json?page=1&size=10000&order=desc&exchange=CN&orderBy=percent&level2code=A01,SZ002041,37421772.83,-0.26,FALSE,18.45,11.62,-2.24,3296460,11.36,11.45,11.25,登海种业,9996800000,10.26,31.4453,11.4
A01,农业,https://xueqiu.com/industry/quote_order.json?page=1&size=10000&order=desc&exchange=CN&orderBy=percent&level2code=A01,SH600506,39249593,-0.35,FALSE,25.8,15.35,-2.28,2609833,15,15.29,14.85,香梨股份,2215603095,12.62,0,15.29
