industry1_code,industry1_name,industry2_code,industry2_name,Unnamed: 0,amount,chg,current,hasexist,high,high52w,last_close,low,low52w,market_capital,name,open,pe_ttm,percent,symbol,volume
A,农、林、牧、渔业,A01,农业,0,202550245.0,0.2,4.82,False,4.92,5.75,4.62,4.59,4.38,20626841981.54,海南橡胶,4.63,119.625,4.33,SH601118,42520609
A,农、林、牧、渔业,A01,农业,1,18548455.0,0.1,8.41,False,8.45,8.92,8.31,8.29,7.48,4598342629.84,盈康生命,8.29,84.763,1.2,SZ300143,2211681
A,农、林、牧、渔业,A01,农业,2,7270632.0,0.06,7.85,False,7.92,10.46,7.79,7.78,7.5,3378091057.35,荃银高科,7.89,49.602,0.77,SZ300087,925561
A,农、林、牧、渔业,A01,农业,3,10040375.0,0.02,3.78,False,3.78,6.74,3.76,3.74,3.58,1780090123.14,新赛股份,3.75,87.414,0.53,SH600540,2671812
A,农、林、牧、渔业,A01,农业,4,130561521.0,0.02,7.73,False,7.82,12.65,7.71,7.54,7.01,6802400000.0,登海种业,7.55,209.106,0.26,SZ002041,17015811
A,农、林、牧、渔业,A01,农业,5,16654324.0,0.0,2.79,False,2.81,4.27,2.79,2.77,2.68,5431893187.59,亚盛集团,2.78,55.017,0.0,SH600108,5965860
A,农、林、牧、渔业,A01,农业,6,0.0,0.0,4.58,False,0.0,8.61,4.58,0.0,4.45,2417333526.4,敦煌种业,0.0,,0.0,SH600354,0
A,农、林、牧、渔业,A01,农业,7,11978227.0,-0.01,9.95,False,10.0,13.99,9.96,9.87,9.45,1469683386.35,香梨股份,9.9,1549.651,-0.1,SH600506,1205983
A,农、林、牧、渔业,A01,农业,8,94938995.0,-0.03,13.0,False,13.1,16.9,13.03,12.92,11.89,17120613874.0,隆平高科,13.06,24.864,-0.23,SZ000998,7302431
A,农、林、牧、渔业,A01,农业,9,67076024.0,-0.03,9.42,False,9.46,12.63,9.45,9.36,9.17,16745744742.78,北大荒,9.41,17.149,-0.32,SH600598,7131502
A,农、林、牧、渔业,A01,农业,10,91563746.0,-0.07,11.31,False,11.36,16.36,11.38,11.16,8.22,2545428600.0,万向德农,11.18,48.92,-0.62,SH600371,8137948
A,农、林、牧、渔业,A01,农业,11,29019552.0,-0.05,4.01,False,4.06,5.81,4.06,3.95,3.3,4106240000.0,神农科技,4.06,192.431,-1.23,SZ300189,7241270
A,农、林、牧、渔业,A01,农业,12,51398601.0,-0.04,2.75,False,2.76,4.97,2.79,2.72,2.51,2976046323.25,农发种业,2.75,,-1.43,SH600313,18727353
A,农、林、牧、渔业,A01,农业,13,131355927.0,-0.11,5.65,False,5.68,10.28,5.76,5.53,4.79,2155547433.0,新农开发,5.65,,-1.91,SH600359,23363103
A,农、林、牧、渔业,A02,林业,0,18291876.0,0.01,2.7,False,2.7,3.86,2.69,2.67,2.62,5215808405.7,平潭发展,2.68,69.417,0.37,SZ000592,6811200
A,农、林、牧、渔业,A02,林业,1,9285614.0,-0.01,4.63,False,4.7,8.34,4.64,4.61,4.33,1578777690.26,永安林业,4.64,,-0.22,SZ000663,1995900
A,农、林、牧、渔业,A02,林业,2,36416144.0,-0.12,16.97,False,17.23,28.02,17.09,16.88,12.35,4000779320.0,福建金森,17.15,80.52,-0.7000000000000001,SZ002679,2136840
A,农、林、牧、渔业,A02,林业,3,431639.0,-0.19,25.51,False,25.86,30.68,25.7,25.49,24.42,3311198000.0,ST景谷,25.79,,-0.74,SH600265,16861
A,农、林、牧、渔业,A02,林业,4,10183161.0,-0.06,6.81,False,6.93,7.6,6.87,6.74,5.32,1253944980.9,*ST云投,6.85,,-0.87,SZ002200,1493200
A,农、林、牧、渔业,A03,畜牧业,0,15831001.0,0.06,6.32,False,6.35,9.45,6.26,6.24,6.07,1335620199.2,西部牧业,6.24,82.452,0.96,SZ300106,2505583
A,农、林、牧、渔业,A03,畜牧业,1,254612833.0,0.14,24.05,False,24.07,31.1,23.91,23.8,23.4,29809506433.85,圣农发展,23.94,19.801,0.59,SZ002299,10649446
A,农、林、牧、渔业,A03,畜牧业,2,11454795.0,0.03,5.3,False,5.32,8.87,5.27,5.25,5.02,1658780198.8,天山生物,5.27,,0.5700000000000001,SZ300313,2165561
A,农、林、牧、渔业,A03,畜牧业,3,476452449.0,0.13,29.3,False,29.36,37.88,29.17,28.81,17.86,16804833076.3,益生股份,29.25,46.315,0.45,SZ002458,16413550
A,农、林、牧、渔业,A03,畜牧业,4,64696029.0,0.07,15.91,False,15.92,29.8,15.84,15.77,14.33,4918231905.31,仙坛股份,15.85,12.236,0.44,SZ002746,4082481
A,农、林、牧、渔业,A03,畜牧业,5,41847550.0,0.02,5.41,False,5.42,7.66,5.39,5.37,5.19,2890514851.0,华英农业,5.37,24.416,0.37,SZ002321,7753267
A,农、林、牧、渔业,A03,畜牧业,6,53997256.0,0.01,7.23,False,7.26,13.49,7.22,7.16,7.16,4718844472.32,新五丰,7.24,,0.14,SH600975,7507588
A,农、林、牧、渔业,A03,畜牧业,7,16760064.06,0.0,0.17,False,0.19,1.44,0.17,0.17,0.15,532977137.1,雏鹰退,0.17,,0.0,SZ002477,94797418
A,农、林、牧、渔业,A03,畜牧业,8,14525607.0,-0.01,7.2,False,7.23,11.1,7.21,7.14,6.72,5894646876.0,福成股份,7.18,36.751,-0.14,SH600965,2022261
A,农、林、牧、渔业,A03,畜牧业,9,158307358.0,-0.02,9.23,False,9.31,11.09,9.25,9.22,8.14,10628470324.94,罗牛山,9.28,26.948,-0.22,SZ000735,17100758
A,农、林、牧、渔业,A03,畜牧业,10,806654732.0,-0.2,90.4,False,91.47,103.6,90.6,89.75,52.7,188505173668.8,牧原股份,91.4,362.364,-0.22,SZ002714,8927059
A,农、林、牧、渔业,A03,畜牧业,11,371791729.0,-0.14,30.95,False,31.23,42.69,31.09,30.32,23.99,9348343260.4,民和股份,31.09,24.559,-0.45,SZ002234,12128307
A,农、林、牧、渔业,A03,畜牧业,12,34228192.0,-0.01,1.68,False,1.69,2.36,1.69,1.67,1.63,9215425296.0,大康农业,1.69,,-0.59,SZ002505,20368842
A,农、林、牧、渔业,A04,渔业,0,81250515.0,0.04,3.23,False,3.25,4.32,3.19,3.19,2.57,4609833390.0,晨鑫科技,3.2,,1.25,SZ002447,25282341
A,农、林、牧、渔业,A04,渔业,1,17930878.0,0.06,5.29,False,5.3,7.86,5.23,5.23,5.15,2091193555.39,百洋股份,5.24,67.722,1.15,SZ002696,3402733
A,农、林、牧、渔业,A04,渔业,2,16751635.0,0.02,2.37,False,2.37,3.05,2.35,2.35,2.2,3462556500.48,好当家,2.35,57.064,0.85,SH600467,7098568
A,农、林、牧、渔业,A04,渔业,3,17308157.0,0.03,4.19,False,4.21,5.17,4.16,4.14,3.86,3813397834.85,国联水产,4.14,16.536,0.72,SZ300094,4141600
A,农、林、牧、渔业,A04,渔业,4,89427.0,0.02,3.12,False,3.14,3.45,3.1,3.09,2.92,830142518.4,中鲁B,3.1,8.427,0.65,SZ200992,28760
A,农、林、牧、渔业,A04,渔业,5,4287296.0,0.02,5.89,False,5.91,6.89,5.87,5.85,5.34,1881589950.0,中水渔业,5.87,32.872,0.34,SZ000798,729271
A,农、林、牧、渔业,A04,渔业,6,5125228.0,0.02,9.64,False,9.73,11.22,9.62,9.6,9.01,2322628428.76,开创国际,9.73,10.671,0.21,SH600097,531033
A,农、林、牧、渔业,A04,渔业,7,19265974.0,0.0,3.85,False,3.87,4.34,3.85,3.83,3.09,2911947500.0,ST东海洋,3.84,26.16,0.0,SZ002086,5013534
A,农、林、牧、渔业,A04,渔业,8,8058754.0,0.0,2.62,False,2.66,3.96,2.62,2.6,2.36,1863113948.28,獐子岛,2.61,55.478,0.0,SZ002069,3068745
A,农、林、牧、渔业,A04,渔业,9,11159167.0,-0.01,4.11,False,4.13,5.42,4.12,4.08,3.95,1977884842.68,大湖股份,4.12,111.999,-0.24,SH600257,2715374
A,农、林、牧、渔业,A05,农、林、牧、渔服务业,0,215487194.0,-0.07,8.22,False,8.25,13.93,8.29,8.05,7.2,2705471525.58,丰乐种业,8.13,87.294,-0.84,SZ000713,26428053
B,采矿业,B06,煤炭开采和洗选业,0,1051169.0,0.019,0.718,False,0.719,1.131,0.6990000000000001,0.7010000000000001,0.686,2336377026.0,伊泰B股,0.7010000000000001,4.015,2.72,SH900948,1475332
B,采矿业,B06,煤炭开采和洗选业,1,20382558.0,0.15,9.16,False,9.18,10.08,9.01,9.01,8.79,6620096880.0,上海能源,9.01,10.011,1.66,SH600508,2235931
B,采矿业,B06,煤炭开采和洗选业,2,128777392.0,0.02,1.41,False,1.41,1.94,1.39,1.38,1.34,17520371409.66,永泰能源,1.38,78.982,1.44,SH600157,92393858
B,采矿业,B06,煤炭开采和洗选业,3,48908568.0,0.03,2.56,False,2.65,2.65,2.53,2.49,1.74,2084003840.0,*ST大洲,2.51,,1.19,SZ000571,18966462
B,采矿业,B06,煤炭开采和洗选业,4,29281527.0,0.1,10.32,False,10.4,13.15,10.22,10.2,9.19,9984627451.2,蓝焰控股,10.2,15.349,0.98,SZ000968,2840311
B,采矿业,B06,煤炭开采和洗选业,5,27959059.0,0.03,3.82,False,3.83,4.43,3.79,3.79,3.69,9019650231.24,平煤股份,3.8,12.612,0.79,SH601666,7339300
B,采矿业,B06,煤炭开采和洗选业,6,36128947.0,0.04,5.18,False,5.18,6.02,5.14,5.15,4.96,12457900000.0,阳泉煤业,5.16,6.618,0.78,SH600348,6994477
B,采矿业,B06,煤炭开采和洗选业,7,53206606.0,0.02,3.3,False,3.32,3.58,3.28,3.26,2.78,8548787940.0,新集能源,3.28,32.713,0.61,SH601918,16196495
B,采矿业,B06,煤炭开采和洗选业,8,11384142.0,0.03,5.3,False,5.31,6.38,5.27,5.26,5.09,6359990841.6,昊华能源,5.29,7.041,0.5700000000000001,SH601101,2155042
B,采矿业,B06,煤炭开采和洗选业,9,39066521.0,0.03,5.51,False,5.53,7.85,5.48,5.44,4.88,5510022425.7,恒源煤电,5.51,4.514,0.55,SH600971,7124095
B,采矿业,B06,煤炭开采和洗选业,10,118760760.0,0.05,9.29,False,9.32,11.65,9.24,9.2,8.98,45632628640.0,兖州煤业,9.28,5.77,0.54,SH600188,12817722
