name,industry2_code,Unnamed: 0,amount,amplitude,chg,current,current_year_percent,dividend_yield,first_percent,float_market_capital,float_shares,followers,has_follow,income_cagr,issue_date_ts,lot_size,main_net_inflows,market_capital,net_profit_cagr,pb,pb_ttm,pcf,pe_ttm,percent,percent5m,ps,roe_ttm,symbol,tick_size,total_percent,total_shares,turnover_rate,type,volume,volume_ratio
欧比特,S2701,0,439498176.0,6.75,0.62,11.59,-6.68,0.0,25.24,6829282813,588731277,92118.0,False,-7.10714200295286,1265817600000,100,26437836.0,8145035259,,2.766,,,-34.15,5.65,-0.17,,-7.724875756225649,SZ300053,0.01,175.55,702158212,6.56,11,38678437.0,3.54
全志科技,S2701,1,369922515.0,4.63,0.62,31.53,-0.43,0.968,43.99,6720183093,213136159,43635.0,False,-0.732857933517283,1431619200000,100,25984379.0,10424157168,102.6519379429295,4.674,,,76.374,2.01,0.0,,6.21084584890234,SZ300458,0.01,320.58,330610757,5.5,11,11730285.0,1.88
国科微,S2701,2,195973906.0,3.52,1.0,51.52,26.71,0.194,43.99,5641506988,109543825,20946.0,False,25.75185091177754,1499788800000,100,-4293020.0,9291791710,137.4092465467385,8.24,,,254.204,1.98,-0.72,,3.407402933886961,SZ300672,0.01,711.33,180423140,3.48,11,3807142.0,1.45
汇顶科技,S2701,3,1518279239.0,6.06,3.88,231.18,12.06,0.354,43.98,103764583313,448847579,75197.0,False,24.69304819843063,1476633600000,100,9646519.0,105430664977,8.894310150814277,15.724,,,50.012,1.71,-0.14,,37.32998453622709,SH603160,0.01,887.35,456054438,1.45,11,6524280.0,1.26
紫光国微,S2701,4,3457291907.0,3.4,1.24,76.59,50.65,0.088,46.44,46443463781,606232395,185700.0,False,21.87967445263366,1117987200000,100,54663079.0,46488324528,60.16596822653734,10.626,,,87.917,1.65,-0.16,,12.8232201167327,SZ002049,0.01,5210.09,606817968,7.42,11,44975143.0,1.21
富满电子,S2701,5,313221919.0,6.95,0.39,29.32,32.37,0.0,44.02,2304535769,78626263,10016.0,False,6.954011546418304,1499184000000,100,11300596.0,4158795900,4.663872072283226,6.95,,,104.44,1.35,-0.37,,6.886476325002157,SZ300671,0.01,275.28,141890000,13.5,11,10618339.0,2.03
*ST大港,S2701,6,45048309.0,2.89,0.04,5.23,-12.1,0.0,95.66,2827351467,540602575,26317.0,False,6.021746637757785,1163606400000,100,86565.0,3035222723,-15.57572423858128,1.078,,,-8.667,0.77,-0.19,,-11.71842126390511,SZ002077,0.01,-19.25,580348513,1.58,11,8580401.0,1.03
太极实业,S2701,7,1035709343.0,4.55,0.03,12.13,49.57,1.235,134.72,25548086859,2106190178,50195.0,False,11.52615732611175,743788800000,100,25449756.0,25548086859,18.57169440051376,3.682,,,40.387,0.25,-0.16,,9.369369972432027,SH600667,0.01,522.21,2106190178,4.03,11,84814251.0,1.29
扬杰科技,S2701,8,379039730.0,4.33,0.01,27.5,59.88,0.52,45.18,12945873789,470587924,27827.0,False,17.82383035885853,1390406400000,100,4453911.0,12987935726,10.22776603698865,4.975,,,52.961,0.04,0.07,,9.738741117969136,SZ300373,0.01,508.99,472116893,2.92,11,13744933.0,1.08
博通集成,S2701,9,193856496.0,3.92,-0.2,78.09,-13.3,0.473,44.02,7352441427,94153431,13423.0,False,30.70449019408217,1555257600000,100,2737841.0,10832139870,40.25123091048335,8.474,,,43.023,-0.26,-0.38,,29.11710624889878,SH603068,0.01,192.29,138713534,2.61,11,2454500.0,1.42
南大光电,S2701,10,1593492240.0,8.38,-0.15,31.95,94.94,0.094,23.97,11764591778,368218835,37852.0,False,41.03174699591128,1344268800000,100,-51046900.0,13000162498,53.73532539898387,10.37,,,174.958,-0.47,-1.33,,6.068645249641682,SZ300346,0.01,233.73,406890845,13.33,11,49091559.0,1.52
康强电子,S2701,11,113054001.0,2.39,-0.1,12.86,0.7000000000000001,0.193,97.75,4726095010,367503500,27037.0,False,-1.75977869422389,1172764800000,100,3280680.0,4826152240,-14.37011196940717,5.34,,,62.099,-0.77,-0.16,,8.953077496613302,SZ002119,0.01,137.79,375284000,2.38,11,8737958.0,0.86
北京君正,S2701,12,1301564920.0,5.05,-1.42,106.69,22.42,0.0,-5.91,13465648686,126699743,98693.0,False,28.85846063441912,1306771200000,100,-30685128.0,21478347644,258.1107654640432,7.007,,,312.301,-1.31,0.27,,5.707891175115439,SZ300223,0.01,609.52,202092093,9.54,11,12086882.0,1.74
台基股份,S2701,13,311361445.0,3.0,-0.29,20.39,27.44,0.0,23.37,4345516800,213120000,20879.0,False,-26.16440736392101,1263916800000,100,-6136749.0,4345516800,-76.75863705667602,7.129,,,-17.944,-1.4,-0.2,,-31.80248743714107,SZ300046,0.01,94.65,213120000,7.07,11,15078852.0,0.97
中颖电子,S2701,14,205566720.0,3.72,-0.67,36.38,41.23,1.296,-3.68,9214344578,253210898,66547.0,False,12.18224164095705,1339516800000,100,5031798.0,9244540709,22.50638766820596,9.169,,,46.473,-1.81,0.05,,20.9200954254952,SZ300327,0.01,595.1,254040690,2.19,11,5557284.0,0.96
苏州固锝,S2701,15,218240108.0,2.4,-0.21,11.03,-6.84,0.36,86.39,8002812678,726208047,52381.0,False,-6.305393418632876,1163606400000,100,-6224871.0,8022245787,-11.75071570986739,4.63,,,87.15,-1.87,-0.27,,5.474503834292035,SZ002079,0.01,300.68,727971487,2.72,11,19742325.0,0.78
睿能科技,S2701,16,17653954.0,1.42,-0.26,13.16,-17.44,0.749,44.01,662121712,50313200,5377.0,False,-13.12252071689974,1499270400000,100,-847458.0,2648228912,-76.6334980697358,2.536,,,148.139,-1.94,-0.15,,1.701269429664558,SH603933,0.01,-7.4,201233200,2.66,11,1336832.0,0.65
阿石创,S2701,17,330452417.0,4.9,-0.68,32.0,17.13,0.093,44.03,1976914368,61778574,22410.0,False,8.77321904639956,1506355200000,100,-4835293.0,4515840000,,10.224,,,381.358,-2.08,-0.22,,2.704489074499737,SZ300706,0.01,387.05,141120000,16.35,11,10105318.0,1.6
润欣科技,S2701,18,82245771.0,2.72,-0.2,8.99,3.32,0.218,43.96,4284079279,477068962,55941.0,False,-14.11552597950011,1449676800000,100,-9307602.0,4284079279,-23.37901326308397,5.654,,,152.457,-2.18,-0.44,,3.785369108029656,SZ300493,0.01,290.47,477068962,1.9,11,9082585.0,1.09
长电科技,S2701,19,3089395200.0,5.81,-0.74,32.15,46.27,0.0,91.1,31653925500,984570000,135982.0,False,7.63168020179068,1054569600000,100,-100847282.0,51532416943,,3.998,,,191.534,-2.25,0.06,,2.158185716425792,SH600584,0.01,1018.49,1602874555,9.76,11,96049188.0,0.9400000000000001
兆易创新,S2701,20,2428990437.0,4.3,-5.1,216.82,48.33,0.124,43.98,85962118692,396467663,94748.0,False,40.69958052481832,1471449600000,100,-63662221.0,97449155997,86.27622709030508,17.913,,,132.621,-2.3,-0.09,,19.76133509063881,SH603986,0.01,3006.11,449447265,2.79,11,11047949.0,0.84
捷捷微电,S2701,21,486185437.0,4.64,-0.99,40.13,52.47,0.492,44.01,8961871569,223320996,19559.0,False,24.92390756652008,1489420800000,100,-3433732.0,12249655894,16.88969106415654,8.552,,,62.135,-2.41,0.1,,10.88749361166955,SZ300623,0.01,256.31,305249337,5.32,11,11875173.0,1.39
士兰微,S2701,22,499149066.0,2.92,-0.4,15.37,-0.65,0.032,82.5,20166387007,1312061614,93337.0,False,5.895340248329051,1047312000000,100,-28116522.0,20166387007,-79.83324332169516,5.953,,,-3126.588,-2.54,-0.13,,-0.188814167677453,SH600460,0.01,1066.0,1312061614,2.45,11,32171962.0,0.92
江丰电子,S2701,23,623060071.0,3.48,-1.96,58.16,35.57,0.101,43.97,5457479030,93851746,45180.0,False,29.06519951877009,1497456000000,100,-13296078.48,12720894000,15.98212589431749,17.856,,,181.483,-3.26,-0.45,,10.4996626587358,SZ300666,0.01,969.7,218760000,11.25,11,10562235.0,1.26
通富微电,S2701,24,958283641.0,3.73,-0.8200000000000001,24.12,46.63,0.0,256.01,27822523885,1153504307,76274.0,False,18.43391222176592,1187193600000,100,-5247010.0,27827354277,-67.43498106472505,4.556,,,458.511,-3.29,-0.29,,0.9982052846070951,SZ002156,0.01,146.13,1153704572,3.41,11,39301918.0,0.68
