industry2_name,industry2_code,Unnamed: 0,amount,amplitude,chg,current,current_year_percent,dividend_yield,first_percent,float_market_capital,float_shares,followers,has_follow,income_cagr,issue_date_ts,lot_size,main_net_inflows,market_capital,name,net_profit_cagr,pb,pb_ttm,pcf,pe_ttm,percent,percent5m,ps,roe_ttm,symbol,tick_size,total_percent,total_shares,turnover_rate,type,volume,volume_ratio
半导体,S2701,0,12437860.0,0.0,1.49,16.34,310.55,,43.97,1307200000,80000000,3458.0,False,-9.908763002207689,1588780800000,100,-3661597.26,5228800000,派瑞股份,-12.48819178800593,7.104,7.104,335.2330514040981,80.681,10.03,0.0,22.35348388106441,,SZ300831,0.01,241.84,320000000,0.9500000000000001,11,761191.0,3.06
半导体,S2701,1,821512092.0,7.33,1.92,21.16,32.25,0.0,23.37,4509619200,213120000,20940.0,False,-26.16440736392101,1263916800000,100,-187549534.0,4509619200,台基股份,-76.75863705667602,7.399,7.399,706.1577329463096,,9.98,0.0,20.78259782770187,-31.80248743714107,SZ300046,0.01,99.17,213120000,18.36,11,39129576.0,1.7
半导体,S2701,2,473009495.0,11.24,1.4,28.35,27.99,0.0,44.02,2229054556,78626263,10066.0,False,6.954011546418304,1499184000000,100,53002855.0,4022581500,富满电子,4.663872072283226,6.718,6.718,,100.95,5.19,-0.14,6.853261145051954,6.886476325002157,SZ300671,0.01,275.14,141890000,21.04,11,16539215.0,1.6
半导体,S2701,3,298873174.0,8.34,2.27,52.15,28.26,0.192,43.99,5712710474,109543825,21018.0,False,25.75185091177754,1499788800000,100,30036385.0,9409066751,国科微,137.4092465467385,8.344,8.344,31.6027112661372,257.413,4.55,-0.29,16.81533857929321,3.407402933886961,SZ300672,0.01,720.46,180423140,5.3,11,5802931.0,1.42
半导体,S2701,4,231909506.0,9.23,0.31,8.98,3.21,0.223,43.96,4284079279,477068962,55924.0,False,-14.11552597950011,1449676800000,100,-22433708.0,4284079279,润欣科技,-23.37901326308397,5.648,5.648,20.3904914407553,152.287,3.58,-0.44,3.098338589377031,3.785369108029656,SZ300493,0.01,281.54,477068962,5.28,11,25198092.0,2.07
半导体,S2701,5,1299816634.0,7.24,0.67,23.18,40.91,0.0,256.01,26738229836,1153504307,76166.0,False,18.43391222176592,1187193600000,100,892141.6000000015,26742871979,通富微电,-67.43498106472505,4.382,4.382,22.47597811789937,441.008,2.98,0.04,3.046106234079952,0.9982052846070951,SZ002156,0.01,131.46,1153704572,4.93,11,56894067.0,0.77
半导体,S2701,6,743302216.0,7.84,6.7,251.0,49.32,0.133,44.0,21068754762,83939262,28315.0,False,36.89264535257235,1496678400000,100,38100545.0,39012419717,圣邦股份,53.08082193760983,33.827,33.827,351.4385937035557,204.776,2.74,-0.38,44.67465161823818,18.58196312784616,SZ300661,0.01,1530.21,155427967,3.52,11,2958386.0,1.06
半导体,S2701,7,907173294.44,6.38,0.23,9.16,39.0,0.273,181.35,8796304985,960295304,35115.0,False,2.750830524699199,984672000000,100,-55746.0,8829977145,华微电子,-27.90178793856752,2.836,2.836,55.20214152834934,152.562,2.58,-0.22,5.248519616320909,2.151349402131854,SH600360,0.01,223.32,963971304,10.38,11,99647602.0,0.61
半导体,S2701,8,262582839.0,4.24,0.21,13.18,3.21,0.19,97.75,4843696130,367503500,27038.0,False,-1.75977869422389,1172764800000,100,21118263.0,4946243120,康强电子,-14.37011196940717,5.469,5.469,645.6284003909913,63.595,1.62,-0.23,3.590624678600555,8.953077496613302,SZ002119,0.01,141.45,375284000,5.44,11,20000792.0,1.42
半导体,S2701,9,2754855679.0,5.9,0.15,13.21,76.84,0.114,104.93,36183872663,2739127378,115919.0,False,4.55772750400294,1195488000000,100,-50837658.0,36195449855,华天科技,29.63388710575461,4.651,4.651,19.43056900021501,108.763,1.15,-0.15,4.477243004605456,4.88754849828349,SZ002185,0.01,572.06,2740003774,7.68,11,210485587.0,0.71
半导体,S2701,10,979667037.85,6.83,0.74,69.09,145.87,0.103,44.0,22215974964,321551237,72638.0,False,25.90753796151917,1391961600000,100,-33097053.0,22215974964,晶方科技,175.8037418894703,10.846,10.846,121.5742654644315,132.976,1.08,-0.04,33.36231185014041,8.521313129280529,SH603005,0.01,329.34,321551237,4.46,11,14337829.0,0.84
半导体,S2701,11,213319119.0,4.02,0.07,8.03,-7.59,0.0,30.99,1766163369,219945625,18434.0,False,14.51418549970405,1289491200000,100,-9613377.0,2200220000,晓程科技,,2.119,2.119,,,0.88,0.12,18.28142933292507,-10.78228023077714,SZ300139,0.01,-51.22,274000000,12.03,11,26466035.0,0.68
半导体,S2701,12,346465101.0,4.42,0.08,11.38,-8.37,0.0,25.24,6699761932,588731277,92274.0,False,-7.10714200295286,1265817600000,100,-10671308.0,7990560453,欧比特,,2.716,2.716,39.71227922262941,,0.71,0.0,10.05214749238273,-7.724875756225649,SZ300053,0.01,177.74,702158212,5.14,11,30268850.0,1.13
半导体,S2701,13,332059990.0,4.28,0.19,38.08,44.68,0.525,44.01,8504063528,223320996,19555.0,False,24.92390756652008,1489420800000,100,-9721332.0,11623894753,捷捷微电,16.88969106415654,8.119,8.119,60.75563287678383,58.99,0.5,0.08,16.50211561523549,10.88749361166955,SZ300623,0.01,233.94,305249337,3.92,11,8764265.0,0.61
