日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2015-06-18,'601857,中国石油,11.8,12.3,11.76,12.18,12.28,-0.48,-3.9088,0.101,163538819,1976536015.0,2.15964753825e+12,1.91068051825e+12
2015-06-17,'601857,中国石油,12.28,12.33,11.94,12.15,12.09,0.19,1.5715,0.1074,173834082,2109224324.0,2.24749760761e+12,1.98840311561e+12
2015-06-16,'601857,中国石油,12.09,12.5,12.03,12.4,12.6,-0.51,-4.0476,0.1187,192269036,2357332220.0,2.21272362182e+12,1.95763792082e+12
2015-06-15,'601857,中国石油,12.6,13.06,12.58,12.98,12.96,-0.36,-2.7778,0.1383,223867038,2865595198.0,2.30606432051e+12,2.04021818051e+12
2015-06-12,'601857,中国石油,12.96,13.08,12.88,13.0,12.91,0.05,0.3873,0.1319,213647183,2774773921.0,2.37195187252e+12,2.09851012852e+12
2015-06-11,'601857,中国石油,12.91,12.98,12.71,12.96,12.98,-0.07,-0.5393,0.1126,182365800,2342716252.0,2.36280082363e+12,2.09041402463e+12
2015-06-10,'601857,中国石油,12.98,13.1,12.9,13.08,13.18,-0.2,-1.5175,0.134,216996537,2822162477.0,2.37561229208e+12,2.10174857008e+12
2015-06-09,'601857,中国石油,13.18,13.29,12.93,13.21,13.33,-0.15,-1.1253,0.2025,327958383,4305123939.0,2.41221648764e+12,2.13413298564e+12
2015-06-08,'601857,中国石油,13.33,13.45,12.71,12.77,12.82,0.51,3.9782,0.2644,428162987,5602758824.0,2.43966963431e+12,2.15842129731e+12
2015-06-05,'601857,中国石油,12.82,12.9,12.51,12.66,12.61,0.21,1.6653,0.202,327034132,4163192954.0,2.34632893563e+12,2.07584103763e+12
2015-06-04,'601857,中国石油,12.61,12.63,11.81,12.34,12.35,0.26,2.1053,0.1603,259534143,3198002632.0,2.30789453028e+12,2.04183740128e+12
2015-06-03,'601857,中国石油,12.35,12.56,12.21,12.37,12.37,-0.02,-0.1617,0.1043,168860636,2092947276.0,2.26030907605e+12,1.99973766105e+12
2015-06-02,'601857,中国石油,12.37,12.4,12.15,12.35,12.4,-0.03,-0.2419,0.115,186221316,2288692466.0,2.26396949561e+12,2.00297610261e+12
2015-06-01,'601857,中国石油,12.4,12.44,11.84,11.92,11.92,0.48,4.0268,0.1273,206188279,2506650889.0,2.26946012494e+12,2.00783376494e+12
2015-05-29,'601857,中国石油,11.92,12.28,11.7,12.17,12.2,-0.28,-2.2951,0.1448,234515926,2804182312.0,2.18161005559e+12,1.93011116759e+12
2015-05-28,'601857,中国石油,12.2,13.24,12.1,13.23,13.35,-1.15,-8.6142,0.2144,347162595,4449343500.0,2.23285592938e+12,1.97544934938e+12
2015-05-27,'601857,中国石油,13.35,13.59,13.19,13.19,13.05,0.3,2.2989,0.201,325406701,4348860303.0,2.44333005387e+12,2.16165973887e+12
2015-05-26,'601857,中国石油,13.05,13.1,12.75,13.07,12.98,0.07,0.5393,0.1636,264892990,3426450424.0,2.38842376052e+12,2.11308311552e+12
